Power (kw),Power-1,Temp.(ºC),SolarRad(W/m2),Holiday,Weekend,Hour,Sin_hour
119.1906989,117.823342,7.93,1.4773333333333334,1,1,1,0.0
117.9729915,119.1906989,7.263416666666667,1.4150833333333335,1,1,2,0.0
116.4132879,117.9729915,6.831333333333333,1.5419999999999998,1,1,3,0.0
116.1723836,116.4132879,6.50025,0.891,1,1,4,0.0
114.8782817,116.1723836,6.0064166666666665,1.3758333333333332,1,1,5,0.0
116.1282213,114.8782817,5.645833333333333,0.988,1,1,6,0.0
116.1114773,116.1282213,5.47775,1.4661666666666668,1,1,7,0.0
112.4997965,116.1114773,5.4102500000000004,29.54975,1,1,8,0.0
112.9510473,112.4997965,5.480583333333333,76.49416666666667,1,1,9,0.0
112.7486542,112.9510473,6.0168333333333335,192.8083333333333,1,1,10,0.0
112.3430308,112.7486542,6.882416666666667,237.49166666666667,1,1,11,1.1317961645591699
113.6214352,112.3430308,7.56,267.5,1,1,12,3.6647912925192827
113.8309445,113.6214352,8.73,203.54999999999998,1,1,13,5.948036950248172
114.5270763,113.8309445,9.809166666666666,146.23333333333332,1,1,14,7.825933719413469
114.3096136,114.5270763,9.735833333333334,124.28333333333335,1,1,15,9.170506038567703
117.1276288,114.3096136,9.525833333333333,56.92416666666667,1,1,16,9.89012352617133
116.887771,117.1276288,8.9725,5.232166666666667,1,1,17,9.935745439668286
118.3451269,116.887771,8.865,1.5073333333333334,1,1,18,9.304262721047534
117.9116666,118.3451269,8.984166666666667,1.4498333333333333,1,1,19,8.038709874008541
125.8803455,117.9116666,9.186666666666667,1.3549999999999998,1,1,20,6.225332233652053
126.0302043,125.8803455,9.174166666666666,1.3435833333333334,1,1,21,3.987708489420121
125.6538829,126.0302043,10.0075,1.2211666666666667,1,1,22,1.4783290016340547
126.1955513,125.6538829,9.882307692307693,1.5002307692307693,1,1,23,0.0
126.10325,126.1955513,9.471666666666666,1.1796666666666666,0,0,0,0.0
128.5286184,126.10325,10.209166666666667,1.8166666666666667,0,0,1,0.0
125.8692526,128.5286184,9.975833333333332,1.1193333333333333,0,0,2,0.0
126.8868692,125.8692526,9.791666666666666,1.5486666666666666,0,0,3,0.0
127.1987262,126.8868692,9.895,1.507,0,0,4,0.0
126.4075722,127.1987262,10.0425,1.5416666666666667,0,0,5,0.0
